Year,Month,consecutive_dry_day
1966,02,11.45
1966,03,7.85
1966,04,9.08
1966,05,7.66
1966,06,10.55
1966,07,12.45
1966,08,15.33
1966,09,13.73
1966,10,4.56
1966,11,5.3
1966,12,9.25
1967,01,10.69
1967,02,10.99
1967,03,12.35
1967,04,6.72
1967,05,9.94
1967,06,11.02
1967,07,14.71
1967,08,11.1
1967,09,9.16
1967,10,16.88
1967,11,10.95
1967,12,8.81
1968,01,7.94
1968,02,8.07
1968,03,10.08
1968,04,12.28
1968,05,9
1968,06,6.43
1968,07,16.71
1968,08,10.75
1968,09,8.22
1968,10,11.59
1968,11,9.81
1968,12,10.97
1969,01,9.98
1969,02,5.07
1969,03,5.87
1969,04,7.43
1969,05,10.57
1969,06,10.01
1969,07,14.25
1969,08,7.48
1969,09,9.94
1969,10,17.57
1969,11,13.11
1969,12,7.39
1970,01,8.1
1970,02,7.59
1970,03,7.29
1970,04,9.22
1970,05,7.28
1970,06,9.96
1970,07,14.62
1970,08,13.14
1970,09,12.95
1970,10,11.43
1970,11,16.74
1970,12,10.63
1971,01,8.79
1971,02,9.97
1971,03,7.15
1971,04,7.68
1971,05,7.83
1971,06,10.38
1971,07,11.26
1971,08,14.19
1971,09,9.5
1971,10,13.47
1971,11,13.37
1971,12,19.96
1972,01,5.9
1972,02,4.25
1972,03,11.6
1972,04,9.53
1972,05,7.94
1972,06,10.31
1972,07,8.67
1972,08,11.91
1972,09,4.93
1972,10,7.71
1972,11,11.34
1972,12,11.29
1973,01,9.38
1973,02,8.2
1973,03,11.13
1973,04,7.19
1973,05,11.67
1973,06,11.94
1973,07,15.73
1973,08,14.39
1973,09,11.84
1973,10,10.69
1973,11,16.15
1973,12,7.63
1974,01,11.59
1974,02,6.08
1974,03,11.43
1974,04,5.21
1974,05,9.89
1974,06,10.7
1974,07,15.37
1974,08,18.54
1974,09,9.97
1974,10,6.1
1974,11,10.01
1974,12,13.05
1975,01,13.2
1975,02,9.88
1975,03,9.49
1975,04,10.43
1975,05,11.52
1975,06,10.47
1975,07,16.87
1975,08,14.98
1975,09,11.19
1975,10,13.51
1975,11,11.39
1975,12,10.96
1976,01,16.74
1976,02,9.59
1976,03,13.67
1976,04,12.07
1976,05,8.83
1976,06,9.58
1976,07,8.34
1976,08,10.02
1976,09,10.57
1976,10,9.09
1976,11,7.62
1976,12,6.17
1977,01,6.63
1977,02,8.4
1977,03,12.93
1977,04,8.52
1977,05,10.01
1977,06,11.63
1977,07,14.99
1977,08,9.69
1977,09,10.91
1977,10,15.41
1977,11,9.98
1977,12,12.03
1978,01,6.81
1978,02,6.07
1978,03,6.61
1978,04,4.27
1978,05,5.91
1978,06,11.95
1978,07,16.39
1978,08,16.64
1978,09,11.7
1978,10,11.09
1978,11,25.36
1978,12,6.69
1979,01,7.09
1979,02,5.16
1979,03,6.78
1979,04,4.56
1979,05,16.35
1979,06,15.43
1979,07,13.2
1979,08,15.22
1979,09,12.42
1979,10,7.6
1979,11,9.85
1979,12,17.22
1980,01,6.18
1980,02,11.96
1980,03,12.93
1980,04,7.42
1980,05,3.9
1980,06,10.07
1980,07,14.91
1980,08,19.88
1980,09,14.78
1980,10,10.24
1980,11,8.28
1980,12,9.79
1981,01,9.55
1981,02,12.8
1981,03,9.66
1981,04,9.13
1981,05,8.15
1981,06,14.08
1981,07,12.15
1981,08,14.73
1981,09,9.99
1981,10,10.57
1981,11,15.42
1981,12,6.74
1982,01,11.78
1982,02,13.13
1982,03,7.09
1982,04,10.87
1982,05,11.33
1982,06,14.07
1982,07,16.84
1982,08,12.32
1982,09,12.19
1982,10,7.46
1982,11,11.54
1982,12,7.69
1983,01,12.82
1983,02,10.71
1983,03,11.93
1983,04,9.59
1983,05,11.65
1983,06,12.09
1983,07,15.23
1983,08,16.34
1983,09,13.26
1983,10,11.4
1983,11,13.33
1983,12,9.48
1984,01,7.67
1984,02,8.43
1984,03,8.05
1984,04,7.81
1984,05,5.8
1984,06,11.89
1984,07,20.14
1984,08,15.82
1984,09,10.46
1984,10,8.46
1984,11,9.08
1984,12,10.5
1985,01,5.73
1985,02,11
1985,03,5.28
1985,04,11.45
1985,05,8.67
1985,06,11.39
1985,07,17
1985,08,18.42
1985,09,16.96
1985,10,20.12
1985,11,6.58
1985,12,14.39
1986,01,7.63
1986,02,4.2
1986,03,5.78
1986,04,9.4
1986,05,12.96
1986,06,9.66
1986,07,11.23
1986,08,17.48
1986,09,14.17
1986,10,15.03
1986,11,11.78
1986,12,15.24
1987,01,9.13
1987,02,10.27
1987,03,10.62
1987,04,10.07
1987,05,9.98
1987,06,10.16
1987,07,13.84
1987,08,15.58
1987,09,18.2
1987,10,10.25
1987,11,8.23
1987,12,14.88
1988,01,6.01
1988,02,9.25
1988,03,9.79
1988,04,7.69
1988,05,8.45
1988,06,9.08
1988,07,18.3
1988,08,18.86
1988,09,15.96
1988,10,14.08
1988,11,11.48
1988,12,13.85
1989,01,19.59
1989,02,21.21
1989,03,9.81
1989,04,8.74
1989,05,13.11
1989,06,8.93
1989,07,11.12
1989,08,13.07
1989,09,11.35
1989,10,13.07
1989,11,13.85
1989,12,15.21
1990,01,18.66
1990,02,13.56
1990,03,16.5
1990,04,5.74
1990,05,12.4
1990,06,13.12
1990,07,16.76
1990,08,11.67
1990,09,9.85
1990,10,9.11
1990,11,8.47
1990,12,8.96
1991,01,14.73
1991,02,15.93
1991,03,9.46
1991,04,6.42
1991,05,7.64
1991,06,14.54
1991,07,16.88
1991,08,15.06
1991,09,11.53
1991,10,9.32
1991,11,7.33
1991,12,16.94
1992,01,12.78
1992,02,14.39
1992,03,17.89
1992,04,8.98
1992,05,12.98
1992,06,7.4
1992,07,15.28
1992,08,19.4
1992,09,17.83
1992,10,5.81
1992,11,12.71
1992,12,15.38
1993,01,21.45
1993,02,20.46
1993,03,16.39
1993,04,9.62
1993,05,11.86
1993,06,15.61
1993,07,16.08
1993,08,19.79
1993,09,10.9
1993,10,9.8
1993,11,6.99
1993,12,9.77
1994,01,8.6
1994,02,10.53
1994,03,22.05
1994,04,9.54
1994,05,10.67
1994,06,15.47
1994,07,13.72
1994,08,18.36
1994,09,12.25
1994,10,13.57
1994,11,14.29
1994,12,17.49
1995,01,10.54
1995,02,11.56
1995,03,8.02
1995,04,11.94
1995,05,9.8
1995,06,11.58
1995,07,14.06
1995,08,9.22
1995,09,6.86
1995,10,23.22
1995,11,10.12
1995,12,7.56
1996,01,10.21
1996,02,6.11
1996,03,9.7
1996,04,8.65
1996,05,7.78
1996,06,11.74
1996,07,14.42
1996,08,10.58
1996,09,7.52
1996,10,10.13
1996,11,14.43
1996,12,6.86
1997,01,12.87
1997,02,18.29
1997,03,15.34
1997,04,13.02
1997,05,12.27
1997,06,13.6
1997,07,15.37
1997,08,13.33
1997,09,13.96
1997,10,13.44
1997,11,6.5
1997,12,8
1998,01,11.14
1998,02,20.13
1998,03,11.81
1998,04,10.18
1998,05,9.24
1998,06,12.87
1998,07,18.49
1998,08,18.49
1998,09,11.83
1998,10,7.84
1998,11,10.53
1998,12,10.93
1999,01,12.93
1999,02,10.19
1999,03,11.9
1999,04,8.07
1999,05,10.07
1999,06,15.49
1999,07,13.01
1999,08,14.95
1999,09,9.8
1999,10,12.37
1999,11,10.64
1999,12,11.18
2000,01,12.76
2000,02,12.74
2000,03,12.2
2000,04,7.03
2000,05,9.21
2000,06,11.75
2000,07,14.28
2000,08,19.06
2000,09,15.06
2000,10,9.49
2000,11,7.07
2000,12,11.46
2001,01,5.13
2001,02,9.91
2001,03,9.98
2001,04,6.08
2001,05,9.38
2001,06,13.36
2001,07,14.86
2001,08,18.05
2001,09,10.18
2001,10,14.48
2001,11,10.58
2001,12,12.09
2002,01,16.28
2002,02,10.47
2002,03,12.28
2002,04,11.44
2002,05,6.78
2002,06,13.5
2002,07,13.17
2002,08,9.35
2002,09,7.09
2002,10,11.3
2002,11,10.09
2002,12,5.6
2003,01,7.76
2003,02,12.77
2003,03,15.64
2003,04,10.85
2003,05,16.15
2003,06,11.23
2003,07,18.16
2003,08,12.82
2003,09,12.59
2003,10,7.56
2003,11,8.68
2003,12,8.26
2004,01,7.2
2004,02,14.64
2004,03,9.62
2004,04,6.18
2004,05,7.2
2004,06,9.88
2004,07,17.95
2004,08,15.8
2004,09,17.18
2004,10,12.51
2004,11,10.59
2004,12,8.14
2005,01,14.83
2005,02,11.93
2005,03,14.84
2005,04,7.35
2005,05,11.64
2005,06,11.26
2005,07,14.57
2005,08,15.02
2005,09,7.48
2005,10,9.84
2005,11,9.73
2005,12,8.6
2006,01,10.93
2006,02,11.26
2006,03,7.48
2006,04,9.88
2006,05,13.89
2006,06,16.74
2006,07,16.58
2006,08,9.62
2006,09,13.05
2006,10,10.57
2006,11,14.45
2006,12,12.85
2007,01,13.08
2007,02,10.09
2007,03,9.01
2007,04,11.79
2007,05,9.64
2007,06,13.31
2007,07,21.95
2007,08,19.38
2007,09,13.55
2007,10,10.22
2007,11,9.99
2007,12,9.4
2008,01,10.7
2008,02,18.16
2008,03,12.82
2008,04,7.31
2008,05,9.5
2008,06,11.68
2008,07,15.09
2008,08,17.19
2008,09,13.43
2008,10,13.24
2008,11,6.41
2008,12,6.68
2009,01,5.38
2009,02,9.09
2009,03,8.72
2009,04,6.2
2009,05,12.48
2009,06,11.77
2009,07,17.01
2009,08,18.85
2009,09,10.44
2009,10,9.07
2009,11,13.96
2009,12,5.68
2010,01,8.63
2010,02,4.83
2010,03,9.46
2010,04,8.74
2010,05,7.9
2010,06,10.61
2010,07,14.27
2010,08,14.2
2010,09,10.91
2010,10,7.34
2010,11,4.71
2010,12,7.49
2011,01,10.82
2011,02,14.6
2011,03,7.5
2011,04,11.02
2011,05,9.65
2011,06,12.03
2011,07,14.04
2011,08,19.28
2011,09,19.03
2011,10,12.81
2011,11,14
2011,12,15
2012,01,14.05
2012,02,7.35
2012,03,14.3
2012,04,11.66
2012,05,9.82
2012,06,17.79
2012,07,19.47
2012,08,19.33
2012,09,10.81
2012,10,11.21
2012,11,7.75
2012,12,6.1
2013,01,8.18
2013,02,5.63
2013,03,4.81
2013,04,9.58
2013,05,5.5
2013,06,12.59
2013,07,12.3
2013,08,15.59
2013,09,11.04
2013,10,9.72
2013,11,8.47
2013,12,19.49
2014,01,7.1
2014,02,5.47
2014,03,13.77
2014,04,7.85
2014,05,8.06
2014,06,10.5
2014,07,10.04
2014,08,13.08
2014,09,9.55
2014,10,12.31
2014,11,11.76
2014,12,9.38
2015,01,11.03
2015,02,5.83
2015,03,7.08
2015,04,12.1
2015,05,11.45
2015,06,9.51
2015,07,17.71
2015,08,10.5
2015,09,11.94
2015,10,7.16
2015,11,18.41
2015,12,24.19
2016,01,12.92
2016,02,10.74
2016,03,6.63
2016,04,11.31
2016,05,7.69
2016,06,8.47
2016,07,13.44
2016,08,12.6
2016,09,9.79
2016,10,6.77
2016,11,7.84
2016,12,16.77
2017,01,10.48
2017,02,9.98
2017,03,15.22
2017,04,10.04
2017,05,11.57
2017,06,16.12
2017,07,15.59
2017,08,17.22
2017,09,10.4
2017,10,16.07
2017,11,12.03
2017,12,9.58
2018,01,10.34
2018,02,6
2018,03,6.19
2018,04,11.1
2018,05,5.8
2018,06,8.4
2018,07,11.99
2018,08,9.26
2018,09,9.8
2018,10,7.35
2018,11,8.31
2018,12,10.33
2019,01,9.69
2019,02,15.69
2019,03,18.46
2019,04,9.88
2019,05,5.01
2019,06,15.78
2019,07,14.77
2019,08,14.75
2019,09,10.3
2019,10,11.43
2019,11,3.14
2019,12,8.72
2020,01,16.06
2020,02,14.17
2020,03,12.19
2020,04,14.46
2020,05,9.39
2020,06,9.77
2020,07,13.5
2020,08,14.59
2020,09,13.09
2020,10,6.91
2020,11,15.72
2020,12,8.73
2021,01,7.08
2021,02,14.06
2021,03,18.38
2021,04,12.48
2021,05,10.12
2021,06,14.14
2021,07,17.08
2021,08,18.51
2021,09,12.37
2021,10,11.23
2021,11,4.85
2021,12,12.26
2022,01,14.73
2022,02,14.71
2022,03,16.63
2022,04,10.16
2022,05,12.45
2022,06,14.81
2022,07,18.16
2022,08,12.56
2022,09,9.75
2022,10,14.86
2022,11,14.49
2022,12,11.17
2023,01,7.61
2023,02,19.08
2023,03,8.4
2023,04,7.26
2023,05,4.83
2023,06,9.64
2023,07,16.92
2023,08,18.99
2023,09,14.97
2023,10,18.19
2023,11,9.34
2023,12,14.35
